"id_accidente","tipo_vehiculo_limpio"
134,"CAMIONETA_PASAJEROS"
135,"CAMIONETA CARGA"
136,"CAMIONETA_CARGA"
137,"AUTOMOVIL"
138,"AUTOMOVIL"
139,"AUTOMOVIL"
139,"CAMIONETA_PASAJEROS"
140,"AUTOMOVIL"
141,"AUTOMOVIL"
142,"AUTOMOVIL"
143,"CAMIONETA_PASAJEROS"
143,"OTRO"
144,"AUTOMOVIL"
145,"AUTOMOVIL"
145,"CAMIONETA_CARGA"
146,"MOTOCICLETA"
146,"CAMIONETA_CARGA"
147,"SIN_DATOS"
147,"CAMIONETA_PASAJEROS"
148,"OTRO"
149,"CAMIONETA_CARGA"
149,"AUTOMOVIL"
150,"CAMION_CARGA"
150,"AUTOMOVIL"
151,"AUTOMOVIL"
152,"CAMIONETA CARGA"
152,"OTRO"
153,"CAMIONETA CARGA"
153,"CAMIONETA_PASAJEROS"
154,"CAMIONETA CARGA"
154,"AUTOMOVIL"
155,"OTRO"
156,"AUTOMOVIL"
157,"MOTOCICLETA"
158,"AUTOMOVIL"
159,"OTRO"
159,"SIN_DATOS"
160,"CAMIONETA CARGA"
161,"OTRO"
162,"CAMIONETA_PASAJEROS"
162,"AUTOMOVIL"
163,"OTRO"
163,"AUTOMOVIL"
164,"AUTOMOVIL"
165,"AUTOMOVIL"
165,"OTRO"
166,"CAMIONETA_CARGA"
166,"AUTOMOVIL"
167,"OTRO"
167,"AUTOMOVIL"
168,"AUTOMOVIL"
168,"MOTOCICLETA"
169,"AUTOMOVIL"
169,"CAMIONETA_PASAJEROS"
170,"CAMIONETA_PASAJEROS"
170,"AUTOMOVIL"
171,"AUTOMOVIL"
172,"AUTOMOVIL"
172,"CAMIONETA_PASAJEROS"
173,"AUTOMOVIL"
173,"CAMIONETA_CARGA"
174,"CAMIONETA_PASAJEROS"
174,"AUTOMOVIL"
175,"AUTOMOVIL"
176,"AUTOMOVIL"
177,"AUTOMOVIL"
178,"CAMION_CARGA"
178,"AUTOMOVIL"
178,"SIN_DATOS"
179,"AUTOMOVIL"
180,"AUTOMOVIL"
181,"CAMION_CARGA"
181,"AUTOMOVIL"
182,"AUTOMOVIL"
183,"AUTOMOVIL"
184,"OTRO"
185,"OTRO"
186,"AUTOMOVIL"
186,"SIN_DATOS"
187,"CAMIONETA CARGA"
187,"AUTOMOVIL"
188,"MOTOCICLETA"
188,"AUTOMOVIL"
189,"CAMIONETA_PASAJEROS"
189,"CAMION_PASAJEROS"
189,"AUTOMOVIL"
190,"CAMIONETA_CARGA"
190,"CAMIONETA_PASAJEROS"
191,"MOTOCICLETA"
192,"AUTOMOVIL"
192,"OTRO"
193,"AUTOMOVIL"
194,"AUTOMOVIL"
195,"AUTOMOVIL"
196,"AUTOMOVIL"
197,"OTRO"
197,"AUTOMOVIL"
198,"AUTOMOVIL"
199,"AUTOMOVIL"
200,"AUTOMOVIL"
201,"CAMIONETA_CARGA"
201,"AUTOMOVIL"
202,"AUTOMOVIL"
203,"AUTOMOVIL"
203,"CAMIONETA_CARGA"
204,"MOTOCICLETA"
205,"AUTOMOVIL"
206,"AUTOMOVIL"
206,"CAMIONETA_CARGA"
207,"MOTOCICLETA"
208,"AUTOMOVIL"
209,"CAMIONETA_PASAJEROS"
210,"CAMION_CARGA"
210,"CAMIONETA CARGA"
211,"AUTOMOVIL"
211,"OTRO"
212,"MOTOCICLETA"
212,"AUTOMOVIL"
213,"SIN_DATOS"
213,"CAMIONETA_PASAJEROS"
214,"OTRO"
214,"CAMIONETA CARGA"
215,"CAMIONETA_PASAJEROS"
215,"AUTOMOVIL"
216,"AUTOMOVIL"
216,"CAMIONETA_PASAJEROS"
217,"CAMIONETA_CARGA"
217,"AUTOMOVIL"
218,"CAMIONETA_CARGA"
218,"CAMIONETA_PASAJEROS"
219,"AUTOMOVIL"
220,"AUTOMOVIL"
221,"AUTOMOVIL"
222,"CAMIONETA_PASAJEROS"
223,"AUTOMOVIL"
224,"CAMIONETA_PASAJEROS"
224,"AUTOMOVIL"
225,"AUTOMOVIL"
226,"AUTOMOVIL"
227,"AUTOMOVIL"
228,"CAMIONETA_CARGA"
229,"AUTOMOVIL"
229,"CAMIONETA_PASAJEROS"
230,"CAMIONETA CARGA"
230,"AUTOMOVIL"
231,"CAMIONETA CARGA"
231,"AUTOMOVIL"
232,"AUTOMOVIL"
233,"AUTOMOVIL"
234,"AUTOMOVIL"
234,"MOTOCICLETA"
235,"AUTOMOVIL"
236,"CAMIONETA_PASAJEROS"
236,"AUTOMOVIL"
237,"AUTOMOVIL"
238,"CAMIONETA_PASAJEROS"
238,"AUTOMOVIL"
239,"OTRO"
240,"CAMIONETA_PASAJEROS"
240,"CAMIONETA CARGA"
241,"CAMIONETA_PASAJEROS"
241,"SIN_DATOS"
242,"CAMIONETA_PASAJEROS"
242,"AUTOMOVIL"
243,"SIN_DATOS"
244,"CAMION_PASAJEROS"
244,"SIN_DATOS"
245,"AUTOMOVIL"
246,"AUTOMOVIL"
247,"AUTOMOVIL"
248,"AUTOMOVIL"
249,"CAMIONETA CARGA"
249,"AUTOMOVIL"
250,"AUTOMOVIL"
250,"CAMIONETA_PASAJEROS"
251,"AUTOMOVIL"
252,"AUTOMOVIL"
252,"CAMION_PASAJEROS"
253,"AUTOMOVIL"
253,"MOTOCICLETA"
254,"CAMIONETA_CARGA"
255,"AUTOMOVIL"
256,"AUTOMOVIL"
257,"AUTOMOVIL"
258,"AUTOMOVIL"
258,"CAMIONETA_PASAJEROS"
259,"AUTOMOVIL"
260,"AUTOMOVIL"
261,"CAMIONETA_CARGA"
261,"CAMIONETA_PASAJEROS"
262,"OTRO"
262,"AUTOMOVIL"
263,"AUTOMOVIL"
264,"CAMIONETA CARGA"
265,"AUTOMOVIL"
265,"CAMIONETA_PASAJEROS"
266,"CAMIONETA_CARGA"
266,"AUTOMOVIL"
267,"AUTOMOVIL"
267,"CAMIONETA CARGA"
268,"AUTOMOVIL"
268,"CAMIONETA CARGA"
269,"CAMIONETA_PASAJEROS"
270,"CAMIONETA_PASAJEROS"
270,"AUTOMOVIL"
271,"CAMIONETA CARGA"
271,"AUTOMOVIL"
272,"CAMIONETA_PASAJEROS"
273,"CAMIONETA_CARGA"
274,"AUTOMOVIL"
275,"TRACTOR"
275,"AUTOMOVIL"
276,"AUTOMOVIL"
277,"AUTOMOVIL"
278,"AUTOMOVIL"
279,"CAMION_CARGA"
279,"AUTOMOVIL"
280,"AUTOMOVIL"
280,"CAMIONETA_PASAJEROS"
281,"AUTOMOVIL"
282,"CAMION_PASAJEROS"
282,"MOTOCICLETA"
283,"MOTOCICLETA"
283,"AUTOMOVIL"
284,"AUTOMOVIL"
285,"CAMIONETA CARGA"
285,"AUTOMOVIL"
286,"OTRO"
287,"CAMIONETA_CARGA"
288,"CAMIONETA CARGA"
288,"AUTOMOVIL"
289,"AUTOMOVIL"
289,"SIN_DATOS"
290,"AUTOMOVIL"
291,"OTRO"
292,"OTRO"
292,"AUTOMOVIL"
293,"CAMIONETA_PASAJEROS"
293,"AUTOMOVIL"
294,"CAMIONETA CARGA"
295,"OTRO"
295,"AUTOMOVIL"
296,"AUTOMOVIL"
297,"AUTOMOVIL"
298,"CAMIONETA_CARGA"
298,"AUTOMOVIL"
299,"AUTOMOVIL"
300,"CAMIONETA CARGA"
301,"AUTOMOVIL"
302,"CAMIONETA CARGA"
303,"CAMIONETA_CARGA"
304,"AUTOMOVIL"
305,"CAMIONETA_PASAJEROS"
305,"MOTOCICLETA"
306,"AUTOMOVIL"
307,"AUTOMOVIL"
307,"MOTOCICLETA"
308,"MOTOCICLETA"
308,"OTRO"
309,"AUTOMOVIL"
309,"MOTOCICLETA"
310,"CAMIONETA CARGA"
310,"AUTOMOVIL"
311,"AUTOMOVIL"
312,"AUTOMOVIL"
313,"CAMIONETA CARGA"
313,"AUTOMOVIL"
314,"AUTOMOVIL"
314,"CAMIONETA_PASAJEROS"
315,"AUTOMOVIL"
316,"AUTOMOVIL"
317,"CAMIONETA CARGA"
318,"AUTOMOVIL"
319,"AUTOMOVIL"
319,"CAMIONETA_PASAJEROS"
320,"AUTOMOVIL"
320,"CAMIONETA_PASAJEROS"
321,"AUTOMOVIL"
322,"AUTOMOVIL"
323,"CAMIONETA_PASAJEROS"
323,"CAMIONETA_CARGA"
324,"CAMION_PASAJEROS"
324,"AUTOMOVIL"
325,"CAMIONETA_PASAJEROS"
325,"AUTOMOVIL"
326,"SIN_DATOS"
327,"CAMIONETA_CARGA"
328,"AUTOMOVIL"
328,"CAMIONETA_PASAJEROS"
329,"CAMIONETA CARGA"
329,"AUTOMOVIL"
329,"OTRO"
330,"CAMIONETA_CARGA"
331,"AUTOMOVIL"
332,"AUTOMOVIL"
333,"AUTOMOVIL"
333,"CAMIONETA_CARGA"
334,"CAMIONETA CARGA"
334,"AUTOMOVIL"
335,"OTRO"
335,"AUTOMOVIL"
336,"OTRO"
336,"AUTOMOVIL"
337,"AUTOMOVIL"
338,"CAMIONETA_CARGA"
338,"AUTOMOVIL"
339,"CAMIONETA_CARGA"
339,"AUTOMOVIL"
340,"AUTOMOVIL"
341,"AUTOMOVIL"
341,"OTRO"
342,"CAMIONETA CARGA"
342,"AUTOMOVIL"
343,"AUTOMOVIL"
344,"MOTOCICLETA"
345,"AUTOMOVIL"
346,"AUTOMOVIL"
347,"AUTOMOVIL"
348,"OTRO"
348,"AUTOMOVIL"
